,Year,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Day,Month,Hour,Auroransilta,Eteläesplanadi,Huopalahti (asema),Kaisaniemi/Eläintarhanlahti,Kaivokatu,Kulosaaren silta et.,Kulosaaren silta po. ,Kuusisaarentie,"Käpylä, Pohjoisbaana",Lauttasaaren silta eteläpuoli,Merikannontie,Munkkiniemen silta eteläpuoli,Munkkiniemi silta pohjoispuoli,Heperian puisto/Ooppera,Pitkäsilta itäpuoli,Pitkäsilta länsipuoli,Lauttasaaren silta pohjoispuoli,Ratapihantie,Viikintie,Baana
73,2017,-1.0,2.0,3.8,15,3,276,0.0,691.0,673.0,616.0,0.0,0.0,870.0,683.0,0.0,1262.0,989.0,872.0,364.0,1015.0,917.0,541.0,538.0,710.0,0.0,1410.0
74,2017,1.8,2.0,3.4,16,3,276,0.0,803.0,703.0,719.0,0.0,0.0,951.0,752.0,0.0,1576.0,1146.0,975.0,401.0,1087.0,1081.0,617.0,616.0,799.0,0.0,1505.0
75,2017,4.3,-1.0,2.0,17,3,276,0.0,415.0,401.0,306.0,0.0,0.0,418.0,370.0,0.0,773.0,535.0,443.0,198.0,512.0,520.0,329.0,312.0,434.0,0.0,744.0
76,2017,-1.0,-1.0,1.6,18,3,276,0.0,335.0,196.0,248.0,0.0,0.0,364.0,239.0,0.0,712.0,438.0,298.0,214.0,415.0,456.0,363.0,217.0,237.0,0.0,537.0
77,2017,-1.0,-1.0,0.6,19,3,276,0.0,277.0,212.0,192.0,0.0,0.0,424.0,293.0,0.0,722.0,521.0,292.0,170.0,365.0,383.0,292.0,230.0,228.0,0.0,583.0
78,2017,1.1,-1.0,0.2,20,3,276,0.0,773.0,785.0,955.0,0.0,0.0,981.0,817.0,0.0,1625.0,1033.0,974.0,398.0,1011.0,1013.0,532.0,562.0,854.0,0.0,1640.0
79,2017,6.0,0.0,1.6,21,3,276,0.0,638.0,608.0,607.0,0.0,0.0,720.0,598.0,0.0,1223.0,889.0,771.0,322.0,796.0,827.0,418.0,494.0,645.0,0.0,1320.0
80,2017,0.2,-1.0,2.3,22,3,276,0.0,672.0,596.0,570.0,0.0,0.0,650.0,567.0,0.0,1228.0,861.0,771.0,309.0,768.0,788.0,452.0,521.0,611.0,0.0,1333.0
81,2017,-1.0,-1.0,2.5,23,3,276,0.0,861.0,840.0,855.0,0.0,0.0,1121.0,873.0,0.0,1731.0,1362.0,1027.0,439.0,1124.0,1168.0,617.0,683.0,925.0,0.0,1810.0
82,2017,0.6,-1.0,0.5,24,3,276,0.0,774.0,695.0,678.0,0.0,0.0,1002.0,696.0,0.0,1501.0,980.0,808.0,368.0,879.0,1011.0,609.0,526.0,686.0,0.0,1531.0
83,2017,0.8,-1.0,1.9,25,3,276,0.0,348.0,189.0,263.0,0.0,0.0,359.0,236.0,0.0,696.0,458.0,283.0,183.0,329.0,456.0,381.0,193.0,227.0,0.0,567.0
84,2017,0.1,-1.0,4.8,26,3,276,0.0,334.0,303.0,315.0,0.0,0.0,532.0,416.0,0.0,908.0,889.0,383.0,273.0,475.0,551.0,404.0,314.0,256.0,0.0,751.0
85,2017,-1.0,-1.0,6.6,27,3,276,0.0,985.0,1008.0,981.0,0.0,2.0,1313.0,996.0,0.0,1979.0,1482.0,1161.0,523.0,1210.0,1371.0,690.0,684.0,1013.0,0.0,2029.0
86,2017,-1.0,-1.0,2.4,28,3,276,0.0,974.0,1003.0,906.0,0.0,0.0,1249.0,961.0,0.0,2148.0,1418.0,1059.0,586.0,1210.0,1464.0,667.0,692.0,939.0,0.0,1947.0
87,2017,-1.0,-1.0,0.4,29,3,276,0.0,1014.0,1016.0,958.0,0.0,0.0,1222.0,874.0,0.0,1930.0,1328.0,1032.0,486.0,1225.0,1447.0,781.0,716.0,890.0,0.0,2116.0
88,2017,3.3,-1.0,-0.4,30,3,276,0.0,1029.0,1002.0,889.0,0.0,0.0,1230.0,831.0,0.0,1912.0,1332.0,1002.0,506.0,1201.0,1442.0,760.0,723.0,942.0,0.0,2050.0
89,2017,0.6,2.0,0.2,31,3,276,0.0,444.0,398.0,412.0,0.0,0.0,468.0,360.0,0.0,922.0,526.0,483.0,221.0,807.0,628.0,393.0,322.0,451.0,0.0,951.0
90,2017,3.6,-1.0,1.5,1,4,276,0.0,232.0,123.0,212.0,0.0,0.0,209.0,171.0,0.0,496.0,283.0,211.0,148.0,436.0,336.0,289.0,158.0,144.0,0.0,418.0
91,2017,0.1,-1.0,4.3,2,4,276,0.0,357.0,306.0,350.0,0.0,0.0,561.0,462.0,0.0,1084.0,774.0,439.0,311.0,744.0,588.0,446.0,322.0,281.0,0.0,783.0
92,2017,0.2,-1.0,3.0,3,4,276,0.0,1156.0,1164.0,948.0,0.0,0.0,1406.0,1026.0,0.0,2099.0,1409.0,1228.0,535.0,1782.0,1355.0,662.0,775.0,1127.0,0.0,1798.0
93,2017,-1.0,-1.0,3.8,4,4,276,0.0,1187.0,1301.0,1146.0,0.0,1.0,1558.0,1221.0,0.0,2386.0,1847.0,1417.0,642.0,2263.0,1695.0,763.0,894.0,1247.0,0.0,2018.0
94,2017,0.7,-1.0,3.3,5,4,276,0.0,1025.0,1071.0,1027.0,0.0,3.0,1338.0,990.0,0.0,2118.0,1430.0,1125.0,607.0,1919.0,1513.0,657.0,795.0,1056.0,0.0,1791.0
95,2017,-1.0,-1.0,4.7,6,4,276,0.0,1369.0,1231.0,1179.0,0.0,2.0,1562.0,1308.0,0.0,2441.0,1858.0,1389.0,676.0,2487.0,1855.0,898.0,908.0,1154.0,0.0,2117.0
96,2017,4.4,-1.0,4.1,7,4,276,0.0,1047.0,951.0,911.0,0.0,4.0,1179.0,862.0,0.0,2008.0,1311.0,1007.0,524.0,1868.0,1330.0,684.0,692.0,858.0,0.0,1658.0
97,2017,-1.0,-1.0,3.3,8,4,276,0.0,668.0,446.0,493.0,0.0,5.0,726.0,516.0,0.0,1591.0,963.0,551.0,385.0,1259.0,932.0,609.0,423.0,385.0,0.0,759.0
98,2017,-1.0,-1.0,3.7,9,4,276,0.0,508.0,479.0,533.0,0.0,0.0,656.0,607.0,0.0,1318.0,1002.0,567.0,354.0,1080.0,729.0,535.0,411.0,316.0,0.0,669.0
99,2017,2.0,-1.0,6.0,10,4,276,0.0,1243.0,1320.0,1126.0,0.0,0.0,1562.0,1256.0,0.0,2353.0,1808.0,1401.0,670.0,2320.0,1663.0,773.0,917.0,1207.0,0.0,2151.0
100,2017,0.7,-1.0,4.3,11,4,276,0.0,1346.0,1346.0,1222.0,0.0,0.0,1670.0,1242.0,0.0,2540.0,1947.0,1400.0,665.0,2431.0,1864.0,849.0,988.0,1213.0,0.0,2192.0
101,2017,1.1,-1.0,1.8,12,4,276,0.0,1295.0,1201.0,1136.0,0.0,2.0,1546.0,1159.0,0.0,2435.0,1794.0,1307.0,622.0,2141.0,1759.0,843.0,940.0,1157.0,0.0,2141.0
102,2017,0.3,0.0,1.2,13,4,276,0.0,665.0,689.0,545.0,0.0,0.0,725.0,573.0,0.0,1170.0,865.0,644.0,368.0,1068.0,850.0,503.0,444.0,601.0,0.0,1082.0
103,2017,-1.0,-1.0,-0.5,14,4,276,0.0,334.0,312.0,357.0,0.0,2.0,553.0,363.0,0.0,868.0,661.0,318.0,237.0,626.0,453.0,392.0,274.0,231.0,0.0,424.0
104,2017,-1.0,-1.0,-1.4,15,4,276,0.0,336.0,263.0,295.0,0.0,0.0,416.0,295.0,0.0,801.0,598.0,304.0,250.0,729.0,553.0,386.0,238.0,236.0,0.0,401.0
105,2017,-1.0,-1.0,-1.7,16,4,276,0.0,214.0,232.0,213.0,0.0,0.0,351.0,298.0,0.0,594.0,522.0,245.0,205.0,452.0,349.0,285.0,207.0,184.0,0.0,300.0
106,2017,-1.0,-1.0,0.6,17,4,276,0.0,340.0,364.0,367.0,0.0,0.0,565.0,458.0,0.0,1123.0,876.0,441.0,332.0,911.0,553.0,434.0,328.0,267.0,0.0,548.0
107,2017,-1.0,-1.0,0.3,18,4,276,0.0,1281.0,1333.0,1212.0,0.0,0.0,1658.0,1258.0,0.0,2496.0,1895.0,1428.0,686.0,2233.0,1658.0,799.0,941.0,1161.0,0.0,2111.0
108,2017,-1.0,-1.0,1.2,19,4,276,0.0,1466.0,1425.0,1356.0,0.0,0.0,1787.0,1310.0,0.0,2585.0,2098.0,1487.0,778.0,2698.0,1877.0,888.0,1031.0,1135.0,0.0,2268.0
109,2017,5.1,-1.0,2.5,20,4,276,0.0,1394.0,1332.0,1218.0,0.0,0.0,1638.0,1127.0,0.0,2464.0,1682.0,1367.0,694.0,2408.0,1795.0,792.0,939.0,1092.0,0.0,2189.0
110,2017,-1.0,-1.0,5.7,21,4,276,0.0,1088.0,1007.0,978.0,0.0,0.0,1236.0,899.0,0.0,2050.0,1454.0,1050.0,548.0,1894.0,1340.0,807.0,718.0,814.0,0.0,1738.0
111,2017,2.1,-1.0,3.1,22,4,276,0.0,555.0,384.0,472.0,0.0,0.0,651.0,499.0,0.0,1275.0,854.0,507.0,335.0,1065.0,815.0,563.0,348.0,356.0,0.0,729.0
112,2017,1.6,-1.0,2.9,23,4,276,0.0,392.0,355.0,391.0,0.0,3.0,476.0,412.0,0.0,1013.0,809.0,397.0,255.0,821.0,506.0,425.0,323.0,256.0,0.0,557.0
113,2017,2.5,-1.0,3.6,24,4,276,0.0,1559.0,1583.0,1487.0,0.0,0.0,1998.0,1429.0,0.0,3038.0,2397.0,1678.0,833.0,2912.0,2188.0,908.0,1209.0,1308.0,0.0,2572.0
114,2017,4.9,0.0,2.8,25,4,276,0.0,964.0,939.0,866.0,0.0,0.0,1114.0,825.0,0.0,1698.0,1369.0,990.0,458.0,1635.0,1255.0,571.0,657.0,910.0,0.0,1484.0
115,2017,0.3,-1.0,3.2,26,4,276,0.0,1253.0,1212.0,1166.0,0.0,2.0,1401.0,987.0,0.0,2249.0,1687.0,1253.0,615.0,2104.0,1555.0,765.0,939.0,993.0,0.0,1946.0
116,2017,-1.0,-1.0,4.4,27,4,276,0.0,1584.0,1447.0,1390.0,0.0,0.0,1780.0,1344.0,0.0,2835.0,2041.0,1578.0,742.0,2641.0,2028.0,983.0,1120.0,1198.0,0.0,2464.0
117,2017,-1.0,-1.0,4.1,28,4,276,0.0,1381.0,1307.0,1214.0,0.0,1.0,1670.0,1165.0,0.0,2486.0,1947.0,1340.0,724.0,2471.0,1881.0,1032.0,937.0,1097.0,0.0,2151.0
118,2017,9.9,-1.0,2.3,29,4,276,0.0,357.0,207.0,279.0,0.0,0.0,353.0,220.0,0.0,747.0,398.0,267.0,213.0,648.0,519.0,401.0,233.0,241.0,0.0,458.0
119,2017,0.4,2.0,2.2,30,4,276,0.0,386.0,207.0,238.0,0.0,0.0,306.0,219.0,0.0,685.0,378.0,262.0,185.0,475.0,470.0,340.0,187.0,172.0,0.0,272.0
